Classifier	Features Combination	Test Sets Error	Train Sets Error	AUC	F1 Score	Counter
5	[0, 4, 2, 1]	0.018283582089552237	0.01535	0.997669642857143	0.980375562411697	ESCC 139, EAC 128
2	[0, 4, 3, 1]	0.023731343283582083	0.015475000000000001	0.9976116071428571	0.9750502892346863	ESCC 139, EAC 128
4	[0, 4, 1]	0.009029850746268655	0.004775	0.9975066964285714	0.9904963723277281	ESCC 139, EAC 128
6	[0, 4, 3, 2, 1]	0.025298507462686564	0.015125000000000001	0.9972767857142857	0.9729951416706697	ESCC 139, EAC 128
0	[0, 4, 3, 2]	0.0326865671641791	0.019675	0.9971160714285715	0.9658500711559128	ESCC 139, EAC 128
0	[0, 4, 2]	0.043283582089552235	0.028650000000000002	0.9955491071428572	0.9540112400586509	ESCC 139, EAC 128
4	[0, 4, 3, 1, 2]	0.012238805970149253	0.007124999999999999	0.9948571428571428	0.9870866140452486	ESCC 139, EAC 128
1	[0, 4]	0.05044776119402985	0.04645	0.9948125	0.9475676905808208	ESCC 139, EAC 128
1	[0, 4, 2]	0.05052238805970148	0.044725	0.9945267857142858	0.9472410250956779	ESCC 139, EAC 128
1	[0, 4, 3, 2]	0.04992537313432835	0.038925	0.9944419642857143	0.9474324041226367	ESCC 139, EAC 128
